NDC_Code,number_of_prescriptions,drug_name,average_billed_amount,median_billed_amount,average_paid_amount,average_allowed_amount,average_days_supply,average_quantity_dispensed
53367-823-51,1,LURASIDONE HCL,740.41,740.41,594.13,594.13,60.0,82.0
53423-715-87,1,CEFTAZIDIME,848.19,848.19,718.02,718.02,60.0,85.0
53432-482-74,1,OPANA ER,117.25,117.25,75.17,75.17,30.0,28.0
53559-883-60,1,CEFEPIME HCL,759.73,759.73,548.21,548.21,30.0,42.0
53576-879-52,1,ACETAMIN-CAFF-DIHYDROCODEINE,399.44,399.44,332.44,332.44,30.0,40.0
53579-443-50,1,PENICILLIN GK-ISO-OSM DEXTROSE,507.0,507.0,475.0,475.0,30.0,31.0
53583-803-74,1,VANCOMYCIN HCL,468.69,468.69,431.96,431.96,30.0,25.0
53611-576-86,1,OXYMORPHONE HCL ER,380.28,380.28,287.41,287.41,90.0,77.0
53619-595-93,1,MACROBID,649.18,649.18,606.41,606.41,30.0,34.0
53631-848-72,1,EXALGO,1823.05,1823.05,1095.89,1095.89,90.0,118.0
53645-807-13,1,ERY-TAB,39.64,39.64,54.15,32.1,30.0,42.0
53672-194-23,1,AVELOX,627.03,627.03,421.7,421.7,30.0,28.0
53735-179-44,1,OXACILLIN,1572.48,1572.48,1486.94,1486.94,60.0,83.0
53762-983-44,1,MINOCIN,487.51,487.51,445.29,445.29,60.0,51.0
53787-198-39,1,VANCOMYCIN,230.35,230.35,158.6,158.6,60.0,56.0
53845-993-89,1,OXYCODONE HCL-ACETAMINOPHEN,440.36,440.36,334.41,334.41,60.0,78.0
53851-344-93,1,NAFCILLIN,30.74,30.74,29.13,29.13,30.0,24.0
53913-914-48,1,MORGIDOX,791.65,791.65,506.0,506.0,60.0,61.0
53917-900-84,1,NITROFURANTOIN,344.63,344.63,224.09,224.09,30.0,41.0
53966-748-15,1,ROCEPHIN,394.23,394.23,360.67,360.67,30.0,30.0
53975-190-62,1,HALDOL,440.92,440.92,303.82,303.82,30.0,31.0
53997-764-25,1,VANCOCIN HCL,572.65,572.65,522.04,522.04,30.0,24.0
54005-892-78,1,AMOXICILLIN-CLAVULANATE POT ER,1493.46,1493.46,1051.52,1051.52,60.0,81.0
54030-905-95,1,TIMENTIN,203.07,203.07,172.5,172.5,30.0,30.0
54079-738-23,1,CLINDAMYCIN PEDIATRIC,352.81,352.81,239.97,239.97,30.0,26.0
54127-287-98,1,SYNERCID,2001.91,2001.91,1523.28,1523.28,90.0,99.0
54137-673-63,2,INVEGA SUSTENNA,384.28,384.28,362.7,362.7,30.0,36.0
54219-511-11,1,FIORICET WITH CODEINE,216.77,216.77,149.75,149.75,90.0,84.0
54232-386-24,1,MERREM,513.63,513.63,424.22,424.22,30.0,35.0
54251-546-87,1,PRIMLEV,506.79,506.79,308.95,308.95,30.0,40.0
54298-674-70,1,CEDAX,531.28,531.28,327.8,327.8,30.0,38.0
54350-247-40,1,DAPTOMYCIN-0.9% NACL,692.05,692.05,432.18,432.18,30.0,30.0
54353-223-19,1,BICILLIN C-R,2343.19,2343.19,1473.06,1473.06,90.0,126.0
54355-575-95,1,SYNERCID,35.69,35.69,29.87,29.87,30.0,37.0
54373-896-78,1,VANCOMYCIN,951.34,951.34,807.31,807.31,30.0,42.0
54426-288-13,1,DEMEROL,305.3,305.3,229.45,229.45,30.0,44.0
54434-855-40,1,AMPICILLIN TRIHYDRATE,66.85,66.85,40.25,40.25,90.0,120.0
54448-240-67,1,OXYCODONE HCL-ASPIRIN,366.22,366.22,332.3,332.3,30.0,32.0
54456-619-54,1,BUTRANS,1058.06,1058.06,840.2,840.2,90.0,85.0
54529-238-98,1,ACTIQ,331.29,331.29,209.22,209.22,30.0,34.0
54530-318-34,2,ROXICET,58.07,58.07,46.04,46.04,30.0,32.0
54541-479-54,1,LAZANDA,615.97,615.97,525.67,525.67,30.0,31.0
54550-102-10,1,ERYTHROMYCIN,586.41,586.41,388.66,388.66,30.0,34.0
54554-248-39,1,ZIPRASIDONE MESYLATE,537.93,537.93,350.46,350.46,30.0,30.0
54571-532-84,1,HALOPERIDOL DECANOATE 100,182.53,182.53,139.35,139.35,30.0,32.0
54581-890-41,1,TEFLARO,515.66,515.66,462.12,462.12,30.0,45.0
54591-166-17,1,VANCOMYCIN,281.46,281.46,234.86,234.86,30.0,26.0
54592-103-78,1,UNASYN,1752.08,1752.08,1165.68,1165.68,60.0,80.0
54596-742-94,1,CEFOXITIN SODIUM,1885.95,1885.95,1518.89,1518.89,60.0,76.0
54699-970-17,1,HALDOL DECANOATE 50,834.36,834.36,570.28,570.28,30.0,43.0
54755-326-96,1,AVELOX,31.8,31.8,27.0,27.0,60.0,56.0
54806-389-98,1,AVYCAZ,806.36,806.36,629.3,629.3,90.0,82.0
54866-137-47,1,OXYCODONE HCL-ACETAMINOPHEN,24.34,24.34,20.81,20.81,60.0,81.0
54870-831-71,1,FOSFOMYCIN TROMETHAMINE,565.71,565.71,482.65,482.65,90.0,128.0
54872-289-34,1,ASPIRIN-CAFFEINE-DIHYDROCODEIN,923.09,923.09,811.74,811.74,90.0,130.0
54878-335-24,1,RISPERIDONE ODT,83.45,83.45,-73.92,73.92,30.0,43.0
54906-681-23,1,REPREXAIN,1486.57,1486.57,1276.44,1276.44,60.0,89.0
54914-221-73,1,ULTRAM ER,594.55,594.55,358.03,358.03,30.0,32.0
54915-756-27,1,VANCOMYCIN HCL,113.5,113.5,89.27,89.27,60.0,68.0
54970-446-78,1,BICILLIN C-R,321.55,321.55,229.28,229.28,30.0,28.0
55048-961-89,1,MOXIFLOXACIN,1780.84,1780.84,1104.59,1104.59,60.0,85.0
55064-138-31,1,ARISTADA,360.85,360.85,228.25,228.25,30.0,40.0
55118-237-15,1,VIBRAMYCIN,154.13,154.13,97.69,97.69,60.0,52.0
55235-123-95,1,E.E.S. 200,334.44,334.44,244.64,244.64,90.0,74.0
55267-700-74,1,AZACTAM-ISO-OSMOTIC DEXTROSE,131.07,131.07,82.36,82.36,30.0,26.0
55312-982-91,1,DAPTOMYCIN-0.9% NACL,1015.71,1015.71,647.09,647.09,60.0,72.0
55313-645-89,1,INVANZ,16.0,16.0,14.03,14.03,30.0,33.0
55362-416-27,1,LEVORPHANOL TARTRATE,851.66,851.66,709.85,709.85,30.0,42.0
55378-930-22,1,SULFAMETHOXAZOLE-TRIMETHOPRIM,17.92,17.92,16.13,16.13,30.0,27.0
55390-714-82,1,FOSFOMYCIN TROMETHAMINE,283.44,283.44,188.24,188.24,30.0,36.0
55399-310-62,1,IBUDONE,287.96,287.96,198.23,198.23,30.0,44.0
55426-978-72,1,SOLODYN,252.82,252.82,227.45,227.45,30.0,32.0
55455-659-84,1,ERYTHROCIN LACTOBIONATE,134.56,134.56,94.25,94.25,30.0,25.0
55460-509-41,1,ASCOMP WITH CODEINE,675.3,675.3,576.94,576.94,60.0,67.0
55473-612-96,1,RISPERIDONE ODT,3135.13,3135.13,2777.65,2777.65,90.0,130.0
55473-900-40,1,CEFTIBUTEN,689.31,689.31,463.77,463.77,30.0,36.0
55504-952-90,1,RISPERDAL,219.05,219.05,196.02,196.02,30.0,29.0
55562-963-63,1,OXYCODONE HCL ER,793.88,793.88,742.24,742.24,30.0,44.0
55585-632-67,1,PRIMAXIN,874.29,874.29,698.07,698.07,30.0,43.0
55594-490-55,1,PIPERACILLIN-TAZOBACTAM,647.67,647.67,416.84,416.84,30.0,42.0
55611-875-59,2,CHLORPROMAZINE HCL,1967.75,1967.75,1377.6,1377.6,90.0,131.0
55644-118-53,1,TRAMADOL HCL-ACETAMINOPHEN,2751.78,2751.78,2199.66,2199.66,90.0,127.0
55667-658-37,1,ASCOMP WITH CODEINE,442.17,442.17,353.93,353.93,60.0,58.0
55696-957-87,1,GEODON,1317.42,1317.42,1001.13,1001.13,90.0,109.0
55725-405-17,1,CARISOPRODOL-ASPIRIN-CODEINE,326.59,326.59,303.75,303.75,60.0,75.0
55728-820-38,1,SULFATRIM,51.72,51.72,47.78,47.78,30.0,25.0
55780-305-92,1,ERYTHROMYCIN,639.93,639.93,423.82,423.82,30.0,35.0
55853-758-67,1,HYDROMORPHONE ER,205.3,205.3,132.45,132.45,60.0,72.0
55862-861-42,1,TIMENTIN,825.62,825.62,620.32,620.32,30.0,37.0
55885-926-64,1,ZITHROMAX TRI-PAK,241.08,241.08,178.9,178.9,90.0,73.0
55907-603-83,1,SULFAMETHOXAZOLE-TRIMETHOPRIM,412.81,412.81,271.09,271.09,60.0,54.0
55917-820-51,1,VANCOMYCIN,1948.49,1948.49,1347.36,1347.36,90.0,116.0
55939-789-50,1,CLOZAPINE,57.67,57.67,37.57,37.57,90.0,126.0
55999-836-21,1,MS CONTIN,271.27,271.27,216.34,216.34,30.0,44.0
56010-387-89,1,ZERBAXA,899.1,899.1,713.39,713.39,90.0,94.0
56051-299-83,1,TEFLARO,454.64,454.64,387.61,387.61,30.0,30.0
56077-961-66,1,ERYPED 400,842.24,842.24,784.55,784.55,90.0,128.0
56094-775-48,1,CEFAZOLIN,453.79,453.79,385.02,385.02,30.0,35.0
56103-587-22,1,GEODON,199.97,199.97,139.13,139.13,30.0,29.0
56108-950-93,1,SECUADO,291.46,291.46,175.48,175.48,30.0,32.0
56111-883-43,1,DORIPENEM,174.35,174.35,108.83,108.83,30.0,38.0
56120-235-44,1,OXACILLIN SODIUM,1282.41,1282.41,1074.49,1074.49,90.0,116.0
56142-251-65,1,MEPERIDINE HCL,69.54,69.54,43.68,43.68,30.0,30.0
56234-174-27,1,IMIPENEM-CILASTATIN SODIUM,112.47,112.47,74.15,74.15,30.0,31.0
56234-379-26,1,OKEBO,33.54,33.54,25.3,25.3,30.0,33.0
56237-300-22,1,FORTAZ IN ISO-OSMOTIC DEXTROSE,568.04,568.04,494.34,494.34,30.0,25.0
56238-425-61,1,ZINACEF,571.61,571.61,354.21,354.21,30.0,30.0
56281-421-32,1,CEFTAZIDIME,707.75,707.75,618.2,618.2,30.0,40.0
56288-607-89,1,FANAPT,59.46,59.46,54.27,54.27,30.0,32.0
56289-798-48,1,SOLODYN,332.18,332.18,304.34,304.34,30.0,28.0
56306-424-20,1,NUPLAZID,1149.15,1149.15,722.12,722.12,90.0,130.0
56370-126-57,1,CARISOPRODOL COMPOUND-CODEINE,1604.62,1604.62,1179.12,1179.12,90.0,115.0
56387-317-62,1,OPANA,407.2,407.2,325.74,325.74,30.0,33.0
56421-507-90,1,AVELOX,813.15,813.15,669.82,669.82,30.0,37.0
56427-161-15,1,LORCET,1499.37,1499.37,1395.2,1395.2,60.0,89.0
56486-811-74,1,MORPHINE SULFATE,943.48,943.48,879.79,879.79,60.0,65.0
56487-638-86,1,LINEZOLID,871.23,871.23,576.88,576.88,30.0,38.0
56563-898-68,1,GEODON,244.29,244.29,183.62,183.62,30.0,33.0
56636-245-14,1,ORAP,251.1,251.1,191.66,191.66,30.0,41.0
56641-501-32,1,MORPHABOND ER,128.86,128.86,118.31,118.31,30.0,39.0
56647-368-41,1,ARISTADA,73.56,73.56,62.22,62.22,60.0,83.0
56654-697-56,1,TYGACIL,664.15,664.15,625.32,625.32,60.0,64.0
56673-279-41,1,AMIKACIN SULFATE,1092.72,1092.72,820.79,820.79,30.0,45.0
56706-603-62,1,CIPROFLOXACIN,1350.0,1350.0,851.32,851.32,60.0,69.0
56862-602-30,1,AEMCOLO,648.49,648.49,487.36,487.36,30.0,41.0
56876-305-27,1,AZITHROMYCIN,1845.6,1845.6,1355.64,1355.64,90.0,82.0
56896-685-32,1,CO-GESIC,279.39,279.39,221.48,221.48,60.0,74.0
56902-376-88,1,ERYTHROCIN STEARATE,744.88,744.88,675.81,675.81,60.0,68.0
57004-937-61,1,RISPERIDONE ODT,602.09,602.09,536.17,536.17,30.0,38.0
57064-482-82,1,HYCET,126.4,126.4,84.66,84.66,30.0,26.0
57136-546-27,1,AZTREONAM,447.59,447.59,273.48,273.48,30.0,28.0
57191-770-31,1,MORGIDOX,423.54,423.54,356.07,356.07,60.0,88.0
57243-596-95,1,ERYTHROMYCIN,411.62,411.62,275.95,275.95,30.0,30.0
57245-297-16,1,LURASIDONE HCL,456.23,456.23,341.32,341.32,60.0,54.0
57266-703-66,1,TARGADOX,720.41,720.41,518.02,518.02,30.0,44.0
57279-745-64,1,EMBEDA,111.46,111.46,81.7,81.7,60.0,71.0
57299-114-66,1,FLAGYL ER,1152.63,1152.63,721.04,721.04,60.0,69.0
57301-493-79,1,SUBSYS,2067.83,2067.83,1439.95,1439.95,90.0,129.0
57337-257-12,1,CIPROFLOXACIN ER,623.03,623.03,566.35,566.35,30.0,35.0
57343-475-30,1,OXYCONTIN,248.43,248.43,219.79,219.79,90.0,81.0
57349-900-32,1,VANCOMYCIN,1124.73,1124.73,930.82,930.82,90.0,104.0
57361-151-46,1,ZOSYN,887.29,887.29,758.09,758.09,60.0,49.0
57389-206-65,1,CEFEPIME HCL,1646.08,1646.08,1012.44,1012.44,60.0,74.0
57392-745-77,1,LINEZOLID-0.9% NACL,1531.54,1531.54,1317.19,1317.19,60.0,72.0
57416-937-55,1,CEFEPIME-DEXTROSE,308.58,308.58,273.04,273.04,60.0,60.0
57462-499-32,1,MORPHABOND ER,555.64,555.64,442.32,442.32,30.0,39.0
57482-470-23,1,PROLATE,675.92,675.92,519.48,519.48,30.0,39.0
57508-130-42,1,FLUPHENAZINE HCL,871.09,871.09,766.05,766.05,60.0,59.0
57529-572-58,1,OXACILLIN,2017.82,2017.82,1840.43,1840.43,60.0,83.0
57661-824-52,1,VICOPROFEN,207.82,207.82,160.04,160.04,60.0,67.0
57703-947-46,1,VANCOMYCIN,734.77,734.77,495.68,495.68,30.0,43.0
57710-525-42,1,CEFAZOLIN SODIUM,182.38,182.38,134.65,134.65,30.0,33.0
57813-692-86,1,ZOSYN,602.59,602.59,476.24,476.24,60.0,81.0
57860-955-64,2,FACTIVE,450.4,450.4,368.58,368.58,30.0,31.0
57861-503-33,1,FACTIVE,451.16,451.16,319.92,319.92,60.0,50.0
57863-627-15,1,SEYSARA,2005.3,2005.3,1877.15,1877.15,90.0,125.0
57871-722-43,1,AZACTAM,122.58,122.58,95.2,95.2,30.0,37.0
57885-731-23,1,GENTAMICIN SULFATE,605.49,605.49,486.09,486.09,60.0,53.0
57885-853-57,1,LURASIDONE HCL,825.68,825.68,1455.98,539.01,30.0,36.0
57955-626-56,1,AMIKACIN SULFATE,817.95,817.95,732.12,732.12,30.0,40.0
58000-990-54,1,UNASYN,135.13,135.13,110.99,110.99,30.0,30.0
58004-903-17,1,OXACILLIN SODIUM,333.2,333.2,279.71,279.71,30.0,38.0
58032-132-46,1,PFIZERPEN,653.11,653.11,547.6,547.6,30.0,27.0
58037-275-34,1,ASCOMP WITH CODEINE,66.98,66.98,46.13,46.13,30.0,32.0
58060-952-33,1,FIORICET WITH CODEINE,1030.46,1030.46,647.15,647.15,60.0,58.0
58116-531-95,1,MEPERITAB,91.48,91.48,65.06,65.06,30.0,39.0
58247-839-47,1,FIORINAL WITH CODEINE #3,2075.26,2075.26,1700.27,1700.27,90.0,126.0
58304-551-12,1,ERYPED 400,454.21,454.21,375.12,375.12,30.0,35.0
58311-294-22,1,NITROFURANTOIN,769.46,769.46,485.28,485.28,60.0,60.0
58315-173-56,1,KETEK,595.15,595.15,388.87,388.87,30.0,28.0
58331-589-10,1,CODEINE SULFATE,527.36,527.36,319.42,319.42,60.0,74.0
58360-810-59,1,MEPERITAB,1029.24,1029.24,636.55,636.55,60.0,74.0
58366-230-23,1,VANCOMYCIN HCL-D5W,637.88,637.88,475.59,475.59,30.0,35.0
58442-982-14,1,LEVAQUIN,543.78,543.78,487.23,487.23,30.0,28.0
58477-643-58,1,BICILLIN L-A,644.64,644.64,527.14,527.14,30.0,31.0
58534-496-46,1,STREPTOMYCIN SULFATE,253.51,253.51,229.87,229.87,60.0,54.0
58539-926-44,1,VANCOMYCIN HCL-D5W,45.35,45.35,42.21,42.21,60.0,85.0
58541-416-48,1,OLANZAPINE,813.93,813.93,507.64,507.64,30.0,42.0
58640-278-20,1,AUGMENTIN XR,1077.5,1077.5,935.3,935.3,60.0,77.0
58651-252-74,1,PIMOZIDE,1498.47,1498.47,983.46,983.46,60.0,65.0
58660-170-50,1,ZOSYN,608.82,608.82,373.69,373.69,30.0,41.0
58675-419-97,1,HYDROCODONE-ACETAMINOPHEN,178.33,178.33,155.1,155.1,30.0,44.0
58705-584-28,2,TYGACIL,27.86,27.86,26.22,26.22,30.0,28.0
58728-986-69,1,SYMBYAX,407.93,407.93,352.95,352.95,30.0,30.0
58781-886-67,2,LEVORPHANOL TARTRATE,668.32,668.32,440.39,440.39,30.0,41.0
58784-766-23,1,FLUPHENAZINE HCL,164.44,164.44,140.96,140.96,30.0,27.0
58819-109-14,1,SIVEXTRO,485.94,485.94,354.55,354.55,30.0,32.0
58854-240-40,1,OLANZAPINE ODT,262.93,262.93,164.62,164.62,30.0,28.0
58856-894-87,1,RYBIX ODT,148.14,148.14,117.78,117.78,30.0,32.0
58883-291-71,1,ERTAPENEM,525.76,525.76,459.16,459.16,30.0,37.0
58951-403-13,1,DICLOXACILLIN SODIUM,193.58,193.58,132.08,132.08,30.0,41.0
58954-940-83,1,ARIPIPRAZOLE ODT,993.86,993.86,878.08,878.08,90.0,80.0
58960-557-25,1,METHADOSE,738.46,738.46,461.59,461.59,30.0,38.0
58975-652-19,1,MORPHABOND ER,227.48,227.48,150.73,150.73,30.0,36.0
58986-832-29,1,CIPRO I.V.,308.07,308.07,207.05,207.05,30.0,31.0
59014-532-66,1,DORIBAX,433.1,433.1,345.94,345.94,90.0,108.0
59015-201-83,1,KADIAN,274.8,274.8,216.06,216.06,60.0,60.0
59017-913-93,1,CLEOCIN PALMITATE,1480.04,1480.04,1289.36,1289.36,90.0,124.0
59041-688-92,1,INVEGA HAFYERA,866.65,866.65,536.95,536.95,30.0,43.0
59052-736-20,1,CARISOPRODOL COMPOUND-CODEINE,386.61,386.61,321.65,321.65,60.0,79.0
59064-154-82,1,ERTAPENEM,1406.53,1406.53,970.36,970.36,60.0,84.0
59083-866-91,1,LEVAQUIN,1743.43,1743.43,1507.89,1507.89,90.0,102.0
59097-576-14,1,NAFCILLIN,324.86,324.86,247.51,247.51,30.0,43.0
59156-161-11,1,FORTAZ IN ISO-OSMOTIC DEXTROSE,598.51,598.51,380.21,380.21,30.0,34.0
59175-265-93,1,CARISOPRODOL COMPOUND-CODEINE,1817.5,1817.5,1667.45,1667.45,90.0,127.0
59224-781-32,2,MAXIDONE,70.17,70.17,49.09,49.09,60.0,88.0
59246-903-45,1,DAPTOMYCIN,149.37,149.37,104.73,104.73,60.0,50.0
59305-500-77,1,COBENFY,491.04,491.04,348.11,348.11,30.0,29.0
59368-848-83,1,GEODON,505.02,505.02,363.41,363.41,30.0,25.0
59376-183-76,1,ULTRAM ER,341.27,341.27,275.96,275.96,30.0,30.0
59376-250-78,1,ERY-TAB,643.79,643.79,452.06,452.06,30.0,39.0
59379-605-33,1,KETEK,292.52,292.52,199.77,199.77,30.0,27.0
59411-384-29,1,OKEBO,136.61,136.61,122.44,122.44,30.0,27.0
59425-449-98,1,ERYTHROMYCIN,49.85,49.85,35.19,35.19,30.0,34.0
59434-917-45,1,BICILLIN L-A,859.81,859.81,708.52,708.52,90.0,94.0
59462-962-59,1,RISPERDAL CONSTA,262.92,262.92,175.46,175.46,30.0,39.0
59464-123-77,1,TYLENOL-CODEINE NO.3,841.75,841.75,781.76,781.76,30.0,41.0
59498-163-72,1,DURAGESIC,45.36,45.36,34.04,34.04,30.0,24.0
59500-892-64,1,FURADANTIN,333.03,333.03,203.89,203.89,90.0,100.0
59505-339-56,1,UNASYN,280.78,280.78,218.67,218.67,30.0,28.0
59538-876-45,1,ABILIFY MAINTENA,695.97,695.97,561.1,561.1,30.0,28.0
59542-374-34,1,FENTANYL,129.5,129.5,111.05,111.05,30.0,29.0
59598-689-90,1,BICILLIN L-A,658.44,658.44,495.52,495.52,30.0,45.0
59702-351-86,1,CLARITHROMYCIN ER,533.45,533.45,383.67,383.67,30.0,26.0
59744-354-64,1,MACRODANTIN,416.05,416.05,599.75,381.92,60.0,85.0
59827-767-76,1,ENDOCET,270.57,270.57,247.77,247.77,30.0,30.0
59837-545-98,1,MORPHINE SULFATE ER,570.99,570.99,514.34,514.34,30.0,39.0
59863-526-64,1,MEPERIDINE HCL,90.85,90.85,60.11,60.11,30.0,33.0
59900-265-19,1,MORGIDOX,460.16,460.16,386.05,386.05,60.0,57.0
59902-280-54,1,HALOPERIDOL LACTATE,194.24,194.24,146.7,146.7,30.0,27.0
59970-228-48,1,PERPHENAZINE,1011.4,1011.4,848.09,848.09,30.0,41.0
59976-774-60,1,ZYVOX,647.42,647.42,407.79,407.79,90.0,133.0
60014-429-19,1,TOBRAMYCIN SULFATE IN NS,603.99,603.99,514.71,514.71,60.0,50.0
60029-528-71,1,MAXIPIME,2552.91,2552.91,2213.11,2213.11,90.0,121.0
60077-924-31,1,ARISTADA INITIO,1171.43,1171.43,949.65,949.65,60.0,51.0
60087-219-27,1,MEROPENEM-0.9% NACL,-242.71,-242.71,172.35,172.35,60.0,86.0
60163-831-39,1,ACETAMINOPHEN-CODEINE,171.9,171.9,133.68,133.68,30.0,40.0
60174-756-66,1,CIPROFLOXACIN HCL,744.71,744.71,698.49,698.49,90.0,125.0
60185-829-44,1,UNASYN,552.98,552.98,514.52,514.52,60.0,63.0
60206-143-92,1,FACTIVE,632.72,632.72,556.64,556.64,30.0,39.0
60246-710-10,1,LORCET,1219.47,1219.47,1114.38,1114.38,90.0,85.0
60281-530-73,1,ASPIRIN-CAFFEINE-DIHYDROCODEIN,199.08,199.08,129.14,129.14,30.0,30.0
60289-575-12,2,HYDROCODONE-ACETAMINOPHEN,205.6,205.6,194.34,194.34,30.0,29.0
60317-305-59,1,OXYMORPHONE HCL,485.28,485.28,352.82,352.82,30.0,30.0
60344-393-56,1,SIVEXTRO,169.8,169.8,128.33,128.33,30.0,29.0
60357-226-15,1,CLEOCIN HCL,769.64,769.64,473.68,473.68,30.0,41.0
60394-240-90,1,SOLODYN,793.46,793.46,614.0,614.0,60.0,52.0
60470-662-75,1,ZYPREXA,482.31,482.31,330.05,330.05,30.0,29.0
60504-854-22,1,ERYTHROMYCIN-SULFISOXAZOLE,325.06,325.06,239.71,239.71,30.0,28.0
60515-840-79,1,AEMCOLO,843.54,843.54,507.29,507.29,60.0,51.0
60545-151-70,1,VICODIN HP,560.16,560.16,430.11,430.11,60.0,62.0
60602-762-39,1,TOBI PODHALER,425.0,425.0,355.78,355.78,30.0,27.0
60608-765-51,1,PENICILLIN G PROCAINE,835.5,835.5,678.26,678.26,60.0,81.0
60621-568-40,1,PERCODAN,1688.23,1688.23,1406.77,1406.77,60.0,88.0
60661-964-16,1,MONDOXYNE NL,100.65,100.65,70.91,70.91,30.0,30.0
60700-772-25,1,LORTAB,1437.97,1437.97,985.12,985.12,90.0,112.0
60710-923-35,1,PENICILLIN V POTASSIUM,1569.57,1569.57,1228.84,1228.84,60.0,80.0
60757-582-49,1,RISPERIDONE,336.01,336.01,312.74,312.74,30.0,29.0
60900-662-19,1,METRONIDAZOLE,562.4,562.4,505.36,505.36,60.0,56.0
60951-953-12,1,ARIKAYCE,187.66,187.66,118.26,118.26,30.0,34.0
60979-229-80,1,DAPTOMYCIN-0.9% NACL,241.18,241.18,196.83,196.83,30.0,26.0
61031-154-45,1,RECARBRIO,182.54,182.54,149.7,149.7,30.0,34.0
61063-575-56,1,SYNALGOS-DC,325.84,325.84,275.87,275.87,90.0,80.0
61192-973-13,1,ENDODAN,357.89,357.89,325.08,325.08,30.0,37.0
61219-550-22,1,ACETAMINOPH-CAFF-DIHYDROCODEIN,691.44,691.44,578.25,578.25,30.0,28.0
61303-714-79,1,TYLOX,361.7,361.7,288.83,288.83,30.0,27.0
61371-420-86,1,SOLODYN,460.5,460.5,285.23,285.23,30.0,34.0
61403-925-56,1,DILAUDID,361.39,361.39,290.85,290.85,30.0,36.0
61433-988-65,1,SYNERCID,157.23,157.23,118.8,118.8,30.0,32.0
61476-134-94,1,DAPTOMYCIN-0.9% NACL,1964.53,1964.53,1700.06,1700.06,60.0,89.0
61477-813-84,1,LEVORPHANOL TARTRATE,145.53,145.53,122.64,122.64,30.0,41.0
61528-462-47,1,FLAGYL,106.75,106.75,100.14,100.14,30.0,38.0
61564-240-76,1,SUPRAX,148.67,148.67,97.15,97.15,60.0,55.0
61623-383-89,1,ADOXA,1396.25,1396.25,1239.73,1239.73,60.0,57.0
61662-919-83,1,CEFEPIME HCL,580.22,580.22,398.49,398.49,30.0,39.0
61711-169-90,1,ZYPREXA,204.46,204.46,185.21,185.21,30.0,30.0
61731-198-62,1,ASPIRIN-CAFFEINE-DIHYDROCODEIN,33.1,33.1,30.34,30.34,60.0,60.0
61741-307-39,1,PIMOZIDE,262.68,262.68,180.29,180.29,30.0,32.0
61749-554-60,1,CIPROFLOXACIN-D5W,83.34,83.34,53.71,53.71,30.0,28.0
61750-639-48,1,ENDODAN,493.05,493.05,313.06,313.06,30.0,24.0
61755-463-18,1,TINDAMAX,401.67,401.67,252.18,252.18,60.0,62.0
61848-465-61,1,DAXBIA,596.04,596.04,424.04,424.04,30.0,44.0
61884-678-83,1,ZOLVIT,1059.74,1059.74,827.17,827.17,60.0,57.0
61895-767-84,1,GENTAMICIN SULFATE IN NS,584.54,584.54,545.57,545.57,30.0,26.0
61938-104-47,1,BICILLIN L-A,203.04,203.04,147.68,147.68,90.0,127.0
61984-588-71,1,ROXYBOND,1312.11,1312.11,1109.71,1109.71,60.0,67.0
62048-287-93,1,VANCOMYCIN HCL,138.95,138.95,95.29,95.29,30.0,30.0
62051-413-72,1,ABILIFY MYCITE,746.66,746.66,587.59,587.59,30.0,32.0
62157-715-85,1,METRONIDAZOLE,20.1,20.1,14.08,14.08,30.0,31.0
62170-439-51,1,ZYPREXA ZYDIS,919.74,919.74,650.04,650.04,30.0,41.0
62173-182-12,1,CEFTIBUTEN,1432.77,1432.77,1243.23,1243.23,90.0,83.0
62231-973-38,1,MS CONTIN,30.6,30.6,23.19,23.19,30.0,39.0
62249-131-94,1,CEFACLOR,2274.96,2274.96,2104.17,2104.17,90.0,120.0
62251-789-51,1,ACETAMIN-CAFF-DIHYDROCODEINE,892.95,892.95,741.69,741.69,90.0,86.0
62306-535-53,1,MINOCYCLINE HCL ER,270.77,270.77,187.98,187.98,30.0,29.0
62332-100-85,1,ERYTHROMYCIN ETHYLSUCCINATE,312.45,312.45,230.26,230.26,30.0,44.0
62334-736-70,1,MACRODANTIN,256.9,256.9,183.83,183.83,30.0,34.0
62338-672-88,1,LINCOMYCIN HCL,429.01,429.01,307.61,307.61,30.0,33.0
62382-909-46,2,ULTRAM,126.18,126.18,110.03,110.03,60.0,59.0
62386-262-48,1,FLAGYL,622.1,622.1,568.83,568.83,60.0,64.0
62444-823-84,1,OXYCODONE HCL-ASPIRIN,737.55,737.55,651.51,651.51,90.0,120.0
62510-894-66,1,MEPERIDINE HCL,194.76,194.76,126.33,126.33,30.0,27.0
62517-778-26,1,LEVAQUIN,1290.53,1290.53,1097.47,1097.47,90.0,91.0
62566-225-41,1,KADIAN,1220.36,1220.36,1124.58,1124.58,60.0,89.0
62569-136-63,1,GENTAMICIN SULFATE,1370.47,1370.47,1023.14,1023.14,90.0,84.0
62571-301-95,1,MINOCIN,248.9,248.9,193.26,193.26,60.0,53.0
62617-186-86,1,DIHYDROCODEIN-ACETAMINOPH-CAFF,394.27,394.27,287.33,287.33,30.0,42.0
62662-516-46,1,VICODIN,477.56,477.56,413.07,413.07,90.0,73.0
62696-877-15,1,CEFOTETAN & DEXTROSE,1325.17,1325.17,816.46,816.46,60.0,62.0
